קופה,תקופה,קוד,נכס,כמות
263,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",53063.52
263,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",99678.28
263,01/2022,105,"פח""ק/פר""י",283914.68
263,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",99929.57
263,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",-2107.07
263,01/2022,5427,"יתרות מזומנים ועו""ש במטבע חוץ בחו""ל",338.29
263,01/2022,7013,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",-60.45
263,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",200839.12
263,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",138875.54
263,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",72467.98
263,01/2022,304,"מק""מ",496.87
263,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",574.28
263,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",11952.75
263,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,2112.1
263,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,284186.93
263,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,76343.26
263,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",3079.94
263,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,52485.84
263,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,47539.19
263,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",422.6
263,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,11871.54
263,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,3424.34
263,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",1316.16
