קופה,תקופה,קוד,נכס,כמות
293,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",4727.99
293,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",5207.98
293,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",35300.13
293,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",26022.3
293,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",9935.0
293,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,29589.54
293,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,9728.11
293,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,8206.92
293,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,7439.31
293,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",352.01
293,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,325.9
293,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,760.85
293,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,344.98
293,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,514.37
293,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,310.46
293,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",343.69
293,01/2022,6221,"מניות השייכות למדד ת""א 25/35",25305.7
293,01/2022,6231,"מניות השייכות למדד ת""א 75/90",9814.74
293,01/2022,6241,מניות היתר,8594.13
293,01/2022,6251,מניות זרות הנסחרות בארץ,1232.62
293,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",926.1
293,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",7110.68
293,01/2022,123,מניות לא סחירות בתאגיד חוץ,164.33
293,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",11442.76
293,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",6443.11
293,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,80604.43
293,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",150.73
293,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,1582.43
293,01/2022,7191,קרנות גידור,4374.54
293,01/2022,552,קרנות השקעה אחרות,730.44
293,01/2022,7201,"קרנות גידור בחו""ל",915.17
293,01/2022,5305,"קרנות נדל""ן בחו""ל",2297.68
293,01/2022,5004,"קרנות השקעה אחרות בחו""ל",2002.28
293,01/2022,313,Warrants אופציות מסוג,130.75
293,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",42.83
293,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-1616.57
293,01/2022,9251,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס מטבע,406.22
293,01/2022,9254,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס מדד,704.02
293,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,1824.78
293,01/2022,554,חייבים שונים,165.4
293,01/2022,555,זכאים (ירשם במינוס,-119.62
293,01/2022,5050,זכאים מס הכנסה,-8.35
