קופה,תקופה,קוד,נכס,כמות
286,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",52512.48
286,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",50541.58
286,01/2022,105,"פח""ק/פר""י",50401.65
286,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",199450.1
286,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",213286.29
286,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",31269.29
286,01/2022,304,"מק""מ",12271.58
286,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",1682.41
286,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",8025.92
286,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,90507.74
286,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,34497.96
286,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",3747.98
286,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,10437.68
286,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,13635.91
286,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",5282.01
286,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,514.55
286,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,5287.98
286,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",266.57
286,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,15936.62
286,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,523.64
286,01/2022,8661,ומעלה (-AA) אגרות חוב קןנצרניות לא סחירות אחרות בדירוג,2860.85
286,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",11567.94
286,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",2188.05
286,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,560.4
