קופה,תקופה,קוד,נכס,כמות
117,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",4053.59
117,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",4819.43
117,01/2022,105,"פח""ק/פר""י",30970.28
117,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",9204.35
117,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",-102.63
117,01/2022,7013,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",-830.7
117,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",107434.15
117,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",71722.19
117,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",37426.05
117,01/2022,304,"מק""מ",256.61
117,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",2466.09
117,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",3780.71
117,01/2022,7067,ומעלה AA- תעודות חוב מסחריות לא סחירות לא צמודות בדירוג,187.26
117,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,140843.07
117,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,37835.65
117,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",1526.41
117,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,26011.94
117,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,22820.11
117,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",209.44
117,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,5883.52
117,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,1697.1
117,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",652.29
117,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,26477.47
117,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,1319.38
117,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",1618.79
117,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",4390.52
117,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",1082.8
117,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,32.31
117,01/2022,5551,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג הנמוך מ,2.19
117,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",2834.67
117,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",4219.63
117,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",7138.62
117,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",26913.18
117,01/2022,6241,מניות היתר,535.82
117,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",15434.08
117,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",1386.57
117,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",21565.03
117,01/2022,9211,תעודת השתתפות בקרנות נאמנות - אחר,8690.32
117,01/2022,7191,קרנות גידור,907.51
117,01/2022,552,קרנות השקעה אחרות,208.73
117,01/2022,5305,"קרנות נדל""ן בחו""ל",2758.27
117,01/2022,5004,"קרנות השקעה אחרות בחו""ל",6062.31
117,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",1618.07
117,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",-14.65
117,01/2022,7240,"לא סחירים FORWARD, SWAP חוזים עתידיים על ריבית",-69.89
117,01/2022,7254,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח",219.89
117,01/2022,5563,"שקל/מט""ח לא סחירות (long) OTC אופציות",47.43
117,01/2022,5565,"שקל/מט""ח (short) בחסר OTC אופציות",-18.84
117,01/2022,7304,"בחו""ל לא סחירות long אופציות על שקל/מט""ח",121.55
117,01/2022,7321,"בחו""ל לא סחירות short אופציות על שקל/מט""ח",-36.1
117,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,1750.73
117,01/2022,9247,מוצרים מובנים בישראל עם קרן לא מובטחת ונכס בסיס ריבית,362.78
117,01/2022,95,הלוואות לעמיתים,14642.25
117,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,24954.1
117,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,24338.35
117,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,5658.88
117,01/2022,7377,"הלוואות בחו""ל מובטחות בביטחונות אחרים",1122.14
117,01/2022,7397,"ומעלה לתקופה של מעל שלושה חודשים ועד שנה -AA פיקדונות נקובים במט""ח בדירוג",862.65
117,01/2022,554,חייבים שונים,524.35
117,01/2022,555,זכאים (ירשם במינוס,-317.25
117,01/2022,5050,זכאים מס הכנסה,-39.13
