קופה,תקופה,קוד,נכס,כמות
103,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",-1738.08
103,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",221195.7
103,01/2022,105,"פח""ק/פר""י",450166.05
103,01/2022,7001,"פק""מ לתקופה של עד שלושה חודשים",896.0
103,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",88480.56
103,01/2022,7013,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",39373.99
103,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",420958.69
103,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",377811.54
103,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",638714.52
103,01/2022,517,"אג""ח ממשלת ישראל שנסחרות בחו""ל",666.22
103,01/2022,7084,"או לא מדורגות -BBB - תעודות חוב מסחריות לא סחירות צמודות מט""ח שעומדות כנגדן בטוחה מספקת בדירוג הנמוך מ",0.0
103,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,982334.33
103,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,103600.46
103,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",26890.99
103,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,71056.14
103,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,162093.45
103,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",27911.4
103,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,18231.04
103,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,33738.18
103,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",13132.22
103,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,179553.46
103,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,18131.03
103,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",9406.4
103,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",30623.94
103,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",31801.02
103,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,4956.39
103,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",17161.07
103,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",4974.06
103,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",14494.22
103,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",45042.06
103,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",186670.75
103,01/2022,6221,"מניות השייכות למדד ת""א 25/35",962197.07
103,01/2022,6231,"מניות השייכות למדד ת""א 75/90",418969.93
103,01/2022,6241,מניות היתר,116280.75
103,01/2022,6251,מניות זרות הנסחרות בארץ,4257.2
103,01/2022,108,מניות לא סחירות,29148.26
103,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",168200.98
103,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",753888.29
103,01/2022,123,מניות לא סחירות בתאגיד חוץ,3570.32
103,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",124904.11
103,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",16858.32
103,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,614835.28
103,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",10295.36
103,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",136589.9
103,01/2022,9204,"תעודת השתתפות בקרנות נאמנות - אג""ח ממשלתי",50906.44
103,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,157055.25
103,01/2022,553,קרנות הון סיכון,62939.8
103,01/2022,7191,קרנות גידור,28217.64
103,01/2022,5302,"קרנות נדל""ן",24088.37
103,01/2022,552,קרנות השקעה אחרות,296609.63
103,01/2022,7201,"קרנות גידור בחו""ל",17282.14
103,01/2022,5305,"קרנות נדל""ן בחו""ל",111598.8
103,01/2022,5004,"קרנות השקעה אחרות בחו""ל",487559.73
103,01/2022,313,Warrants אופציות מסוג,827.01
103,01/2022,7211,Warrants כתבי אופציה לא סחירים מסוג,1728.4
103,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",4.44
103,01/2022,7231,"לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",-3729.36
103,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-22013.44
103,01/2022,7237,"לא סחירים FORWARD, SWAP חוזים עתידיים על מט""ח/מט""ח",9889.85
103,01/2022,7243,"לא סחירים FORWARD, SWAP חוזים עתידיים אחרים",1350.76
103,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-23249.17
103,01/2022,7251,"בחו""ל לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",-2270.26
103,01/2022,5373,אופציות ישראליות על מדד/נכסים אחרים (long),52.14
103,01/2022,5386,אופציות ישראליות על מדדים/נכסים אחרים בחסר (short),-33.4
103,01/2022,5565,"שקל/מט""ח (short) בחסר OTC אופציות",-687.33
103,01/2022,8687,"לא סחירות (short) אופציות מט""ח/מט""ח",-0.92
103,01/2022,5388,אופציות סחירות על מניות ועל מדד מניות (long),2500.19
103,01/2022,5396,אופציות סחירות על מניות ועל מדד מניות בחסר (short),-1892.41
103,01/2022,7301,"בחו""ל לא סחירות long אופציות על מדדים כולל מניות",2261.03
103,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,152620.07
103,01/2022,9317,"מוצרים מובנים בחו""ל עם קרן מובטחת ונכס בסיס אחר",16252.35
103,01/2022,8831,"מוצרים מובנים בחו""ל עם קרן לא מובטחת ונכס בסיס אחר",1475.29
103,01/2022,95,הלוואות לעמיתים,251391.76
103,01/2022,7361,ומעלה -AA הלוואות מובטחות בביטחונות אחרים בדירוג,87319.99
103,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,115216.9
103,01/2022,8881,או לא מדורגות שעומדות כנגדן בטוחה מספקת (-BBB) -הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,55810.09
103,01/2022,7367,-BBB: - הלוואות מובטחות בביטחונות אחרים בדירוג נמוך מ,31478.94
103,01/2022,7491,הלוואות לא מובטחות,56312.16
103,01/2022,7404,ומעלה לתקופה של מעל שנה -AA פיקדונות צמודי מדד בדירוג,4338.62
103,01/2022,5202,זכויות במקרקעין מניבים,20998.84
103,01/2022,531,"ני""ע סחירים אחרים של מנפיקים זרים בחו""ל",13971.75
103,01/2022,554,חייבים שונים,19153.65
103,01/2022,555,זכאים (ירשם במינוס,-5266.61
103,01/2022,5050,זכאים מס הכנסה,-592.52
