קופה,תקופה,קוד,נכס,כמות
289,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",30.92
289,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",4867.32
289,01/2022,105,"פח""ק/פר""י",3379.17
289,01/2022,7010,"פיקדונות במט""ח לתקופה של עד שלושה חודשים",1734.7
289,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",8047.74
289,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",7605.73
289,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",10130.66
289,01/2022,7084,"או לא מדורגות -BBB - תעודות חוב מסחריות לא סחירות צמודות מט""ח שעומדות כנגדן בטוחה מספקת בדירוג הנמוך מ",0.0
289,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,18839.47
289,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,2113.13
289,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",607.32
289,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,1388.7
289,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,3288.09
289,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",550.83
289,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,420.18
289,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,661.53
289,01/2022,5514,"או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג הנמוך מ",333.85
289,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,1770.16
289,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,429.17
289,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",206.47
289,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",544.03
289,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",647.07
289,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,15.48
289,01/2022,7144,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",346.37
289,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",36.03
289,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",276.53
289,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",885.26
289,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",3864.32
289,01/2022,6221,"מניות השייכות למדד ת""א 25/35",18526.37
289,01/2022,6231,"מניות השייכות למדד ת""א 75/90",8173.67
289,01/2022,6241,מניות היתר,2401.72
289,01/2022,6251,מניות זרות הנסחרות בארץ,103.92
289,01/2022,108,מניות לא סחירות,392.11
289,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",2968.54
289,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",14384.24
289,01/2022,123,מניות לא סחירות בתאגיד חוץ,28.82
289,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,235.93
289,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",110.05
289,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",199.62
289,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,16652.79
289,01/2022,5924,"השקעה בתעודות סל שמחקות מדדי אג""ח",225.49
289,01/2022,9201,"תעודת השתתפות בקרנות נאמנות - אג""ח קונצרני",2750.69
289,01/2022,9204,"תעודת השתתפות בקרנות נאמנות - אג""ח ממשלתי",967.63
289,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,3048.63
289,01/2022,7191,קרנות גידור,562.89
289,01/2022,552,קרנות השקעה אחרות,2951.53
289,01/2022,7201,"קרנות גידור בחו""ל",364.92
289,01/2022,5305,"קרנות נדל""ן בחו""ל",20.25
289,01/2022,5004,"קרנות השקעה אחרות בחו""ל",856.52
289,01/2022,313,Warrants אופציות מסוג,16.99
289,01/2022,7221,"בחו""ל Warrants כתבי אופציה לא סחירים מסוג",0.1
289,01/2022,7231,"לא סחירים FORWARD, SWAP חוזים עתידיים על מדדים כולל מניות",-75.95
289,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-378.41
