קופה,תקופה,קוד,נכס,כמות
155,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",23660.7
155,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",50555.94
155,01/2022,105,"פח""ק/פר""י",4577.88
155,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",181520.67
155,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",101519.49
155,01/2022,516,"אג""ח סחירות ממשלתיות לא צמודות בריבית משתנה",2612.54
155,01/2022,304,"מק""מ",820.62
155,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",3814.5
155,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,54451.46
155,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,11094.6
155,01/2022,5502,"לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",2211.23
155,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,16902.12
155,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,14529.34
155,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",3005.41
155,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,3333.21
155,01/2022,5515,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות לא צמודות בדירוג הנמוך מ,1938.7
155,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,7171.98
155,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,4243.95
155,01/2022,5532,"לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מט""ח בדירוג",136.63
155,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1224.16
155,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",3170.55
155,01/2022,5549,או לא מדורגות -BBB אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג הנמוך מ,133.52
155,01/2022,7141,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג",487.25
155,01/2022,7147,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות ישראליות בחו""ל בדירוג הנמוך מ",570.91
155,01/2022,7150,"ומעלה -A אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",779.34
155,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",16070.55
