קופה,תקופה,קוד,נכס,כמות
378,01/2022,106,"יתרות מזומנים ועו""ש בשקלים חדשים",35494.25
378,01/2022,511,"יתרת מזומנים ועו""ש במטבע חוץ",27497.51
378,01/2022,513,"אג""ח ממשלתיות סחירות צמודות מדד",80733.5
378,01/2022,515,"אג""ח סחירות ממשלתיות לא צמודות",76680.46
378,01/2022,526,"אגרות חוב סחירות שהנפיקו ממשלות זרות בחו""ל",4308.98
378,01/2022,5501,לפחות (AA-) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,43618.0
378,01/2022,5503,לפחות (AA-) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,16964.18
378,01/2022,5507,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מדד בדירוג,4979.72
378,01/2022,5509,-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות לא צמודות בדירוג,6128.06
378,01/2022,5508,"-AA לא כולל(-BBB: -AA) אגרות חוב קונצרניות סחירות צמודות מט""ח בדירוג",592.63
378,01/2022,5513,או לא מדורגות -BBB אגרות חוב קונצרניות סחירות צמודות מדד בדירוג הנמוך מ,349.37
378,01/2022,5531,לפחות (-AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג,351.92
378,01/2022,5533,לפחות (-AA) אגרות חוב קונצרניות לא סחירות לא צמודות בדירוג,1303.32
378,01/2022,5537,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות צמודות מדד בדירוג",1345.22
378,01/2022,5539,"-AA לא כולל, (-BBB; -AA) אגרות חוב קונצרניות לא סחירות לא צמודות  בדירוג",202.89
378,01/2022,7153,"-BBB: +BBB אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג",2059.36
378,01/2022,7156,"או לא מדורגות -BBB - אגרות חוב סחירות שהנפיקו חברות זרות בחו""ל בדירוג הנמוך מ",1715.23
378,01/2022,6221,"מניות השייכות למדד ת""א 25/35",67884.2
378,01/2022,6231,"מניות השייכות למדד ת""א 75/90",22422.03
378,01/2022,6241,מניות היתר,5511.26
378,01/2022,528,"מניות של חברות ישראליות שנסחרות בחו""ל",5599.3
378,01/2022,530,"מניות סחירות של תאגיד תושב חוץ בשיעור החזקה של עד 10% בחו""ל",66283.56
378,01/2022,5901,השקעות בתעודות סל שמחקות מדדי מניות בארץ,8314.2
378,01/2022,5904,"השקעות בתעודות סל שמחקות מדדי מניות בחו""ל",5378.59
378,01/2022,5907,"השקעות בתעודות סל שמחקות מדדי אג""ח בארץ",5168.9
378,01/2022,5921,השקעה בתעודות סל שמחקות מדדי מניות,101388.81
378,01/2022,9207,תעודת השתתפות בקרנות נאמנות - מניות,20279.88
378,01/2022,7191,קרנות גידור,26156.77
378,01/2022,5302,"קרנות נדל""ן",468.48
378,01/2022,552,קרנות השקעה אחרות,1816.01
378,01/2022,7201,"קרנות גידור בחו""ל",8167.56
378,01/2022,5305,"קרנות נדל""ן בחו""ל",8493.0
378,01/2022,5004,"קרנות השקעה אחרות בחו""ל",24596.45
378,01/2022,313,Warrants אופציות מסוג,424.1
378,01/2022,7234,"לא סחירים FORWARD, SWAP חוזים עתידיים על שקל/מט""ח",-563.5
378,01/2022,9215,"חוזים עתידיים סחירים בחו""ל - FUTURES",-792.36
378,01/2022,8684,"לא סחירות (long) אופציות מט""ח/מט""ח",75.32
378,01/2022,9234,מוצרים מובנים בישראל עם קרן מובטחת ונכס בסיס מדד,1291.44
378,01/2022,8774,ומעלה בישראל -AA בדירוג (Tranch) שכבת חוב,302.12
378,01/2022,95,הלוואות לעמיתים,7404.63
378,01/2022,7364,-BBB: +A  הלוואות מובטחות בביטחונות אחרים בדירוג,3517.5
378,01/2022,554,חייבים שונים,37.67
378,01/2022,555,זכאים (ירשם במינוס,-244.36
378,01/2022,5050,זכאים מס הכנסה,-9.53
